# DIGITAL FOREST TWIN - MATHISLE IMPORT FILE
# Generated: 2026-01-19 14:43:20
# Source: Mathisle raw data
# Records: 724
#
# REQUIRED FIELDS: LocationID, SpeciesID, Latitude, Longitude
# All coordinates in WGS84 (EPSG:4326)
#
LocationID,SpeciesID,VariantTypeID,Latitude,Longitude,DBH_cm,Height_m,TreeStatusID,CrownWidth_m,CrownBaseHeight_m,Age_years,HealthScore,TaperTypeID,StraightnessTypeID,BranchingPatternID,BarkCharacteristicID,FieldNotes,MeasurementDate
,1,1,47.8845011233333,8.08903801,8.75,,1,,,,,,,,,TreeID: 665 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/665,2025-04-10
,1,1,47.8848005766667,8.08778192,24.83,,1,,,,,,,,,TreeID: 401 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/401,2025-03-05
,1,1,47.8845695866667,8.088518655,45.04,,1,,,,,,,,,TreeID: 654 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/654,2025-04-10
,1,1,47.884606885,8.08828706666667,6.84,,1,,,,,,,,,TreeID: 628 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/628,2025-04-10
,1,1,47.8849945283333,8.088172245,7.64,,1,,,,,,,,,TreeID: 389 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/389,2025-03-05
,1,1,47.8847353083333,8.08830565333333,8.28,,1,,,,,,,,,TreeID: 483 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/483,2025-03-26
,1,1,47.88506445,8.08813524666667,7.32,,1,,,,,,,,,TreeID: 226 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/226,2025-02-13
,1,1,47.8848390766667,8.08789879833334,35.33,,1,,,,,,,,,TreeID: 372 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/372,2025-03-05
,1,1,47.8846404416667,8.08841234666667,18.78,,1,,,,,,,,,TreeID: 565 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/565,2025-03-27
,1,1,47.88495894,8.08779748833333,17.51,,1,,,,,,,,,TreeID: 239 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/239,2025-02-13
