index,species,x,y,dbh,height,elevation,sensor
836,Beech,416770.140797555,5346654.21213617,0.0891267681314614,28.40307746,523.324340820312,False
837,Beech,416769.2323,5346655.067,0.436084544071793,28.10517542,523.417114257812,False
838,Beech,416767.4654,5346655.867,0.0859436692696235,28.27680993,523.417236328125,False
839,Beech,416767.2095,5346654.845,0.13687325105903,28.44172478,523.428955078125,False
840,Beech,416766.6998,5346653.566,0.0604788783749202,31.78123777,523.461181640625,False
841,Beech,416762.23941413,5346660.46289124,0.066845076098596,27.96648584923868,523.73974609375,False
842,Beech,416760.866209219,5346660.16849754,0.143239448782706,27.62516358571572,523.848266601562,False
843,Beech,416759.2063,5346659.579,0.518845114479579,29.88308271,524.021423339844,False
844,Beech,416753.0518,5346658.673,0.140056349920868,26.58214574,524.160461425781,False
845,Beech,416746.0661,5346655.951,0.480647928137524,29.11386551,524.392578125,False
846,Silver Fir,416741.8332,5346662.741,0.490197224723038,32.41185865,524.472351074219,False
847,Silver Fir,416744.552,5346661.555,0.111408460164327,32.58019337,524.259399414062,False
848,Beech,416750.945910936,5346663.20724665,0.413802852038928,29.4781313388544,524.189147949219,False
849,Beech,416752.6577,5346663.293,0.175070437401085,29.49092816,524.049072265625,False
850,Beech,416750.3825,5346666.202,0.229183118052329,27.33795621,524.067626953125,False
851,Beech,416756.601240956,5346666.10810596,0.455183137242821,29.48587924700622,523.879760742188,False
852,Beech,416755.5003,5346669.68,0.461549334966496,29.57325086,523.957946777344,False
853,Beech,416754.7123,5346670.372,0.0636619772367581,29.50599335,523.816223144531,False
854,Silver Fir,416748.0871,5346670.863,0.0954929658551372,26.41799538,523.925903320312,False
855,Beech,416759.180690109,5346671.09786098,0.111408460164327,29.413934366919904,523.6708984375,False
856,Beech,416759.8454,5346665.207,0.162338041953733,28.49759064,523.767883300781,False
857,Beech,416757.7683,5346664.834,0.155971844230057,28.97118352,523.878540039062,False
858,Beech,416758.6648,5346663.852,0.15278874536822,29.57616518,523.839599609375,False
859,Beech,416693.315619659,5346758.65533862,0.0636619772367581,28.172342803509807,516.712646484375,False
860,Beech,416691.957879468,5346757.03081961,0.337408479354818,25.967964184735703,516.729858398438,False
861,Beech,416695.316452703,5346758.70546251,0.0732112738222719,27.469573043879357,517.038513183594,False
862,Beech,416694.2957,5346756.997,0.146422547644544,27.03177794,517.030700683594,False
863,Beech,416694.54,5346756.295,0.0604788783749202,26.40858649,517.046264648438,False
